日期,时间,合约代码,最新价,仓位,多/空,持仓成本价,市值,累计盈亏
2025-12-25,15:30:00,515700.SS,2.457,26100,多,2.523,64127.700,-1709.550
2025-12-25,15:30:00,159985.SZ,1.957,14800,多,2.023,28963.600,-970.880
2025-12-25,15:30:00,515790.SS,0.970,100,多,1.008,97.000,-3.800
2025-12-26,15:30:00,515700.SS,2.517,26100,多,2.523,65693.700,-143.550
2025-12-26,15:30:00,159985.SZ,1.974,14800,多,2.023,29215.200,-719.280
2025-12-26,15:30:00,515790.SS,0.988,100,多,1.008,98.800,-2.000
2025-12-29,15:30:00,515700.SS,2.470,26100,多,2.523,64467.000,-1370.250
2025-12-29,15:30:00,159985.SZ,1.976,14800,多,2.023,29244.800,-689.680
2025-12-29,15:30:00,515790.SS,0.984,100,多,1.008,98.400,-2.400
2025-12-30,15:30:00,515700.SS,2.512,26100,多,2.523,65563.200,-274.050
2025-12-30,15:30:00,159985.SZ,1.964,14800,多,2.023,29067.200,-867.280
2025-12-30,15:30:00,515790.SS,0.972,100,多,1.008,97.200,-3.600
2025-12-31,15:30:00,515700.SS,2.500,26100,多,2.523,65250.000,-587.250
2025-12-31,15:30:00,159985.SZ,1.949,14800,多,2.023,28845.200,-1089.280
2025-12-31,15:30:00,515790.SS,0.962,100,多,1.008,96.200,-4.600
2026-01-05,15:30:00,515700.SS,2.558,0,多,0.000,0.000,0.000
2026-01-05,15:30:00,159985.SZ,1.956,0,多,0.000,0.000,0.000
2026-01-05,15:30:00,515790.SS,0.978,0,多,0.000,0.000,0.000
2026-01-05,15:30:00,512660.SS,1.407,12400,多,1.394,17446.800,167.400
2026-01-05,15:30:00,518880.SS,9.495,8100,多,9.441,76909.500,437.400
2026-01-06,15:30:00,512660.SS,1.453,12400,多,1.394,18017.200,737.800
2026-01-06,15:30:00,518880.SS,9.577,8100,多,9.441,77573.700,1101.600
2026-01-07,15:30:00,512660.SS,1.440,12400,多,1.394,17856.000,576.600
2026-01-07,15:30:00,518880.SS,9.518,8100,多,9.441,77095.800,623.700
2026-01-08,15:30:00,512660.SS,1.505,12400,多,1.394,18662.000,1382.600
2026-01-08,15:30:00,518880.SS,9.511,8100,多,9.441,77039.100,567.000
2026-01-09,15:30:00,512660.SS,1.567,12400,多,1.394,19430.800,2151.400
2026-01-09,15:30:00,518880.SS,9.592,8100,多,9.441,77695.200,1223.100
2026-01-12,15:30:00,512660.SS,1.682,12400,多,1.394,20856.800,3577.400
2026-01-12,15:30:00,518880.SS,9.777,8100,多,9.441,79193.700,2721.600
2026-01-13,15:30:00,512660.SS,1.552,12400,多,1.394,19244.800,1965.400
2026-01-13,15:30:00,518880.SS,9.793,8100,多,9.441,79323.300,2851.200
2026-01-14,15:30:00,512660.SS,1.563,12400,多,1.394,19381.200,2101.800
2026-01-14,15:30:00,518880.SS,9.922,8100,多,9.441,80368.200,3896.100
2026-01-15,15:30:00,512660.SS,1.503,12400,多,1.394,18637.200,1357.800
2026-01-15,15:30:00,518880.SS,9.867,8100,多,9.441,79922.700,3450.600
2026-01-16,15:30:00,512660.SS,1.495,12400,多,1.394,18538.000,1258.600
2026-01-16,15:30:00,518880.SS,9.857,8100,多,9.441,79841.700,3369.600
2026-01-19,15:30:00,512660.SS,1.526,12400,多,1.394,18922.400,1643.000
2026-01-19,15:30:00,518880.SS,10.006,8100,多,9.441,81048.600,4576.500
2026-01-20,15:30:00,512660.SS,1.477,12400,多,1.394,18314.800,1035.400
2026-01-20,15:30:00,518880.SS,10.082,8100,多,9.441,81664.200,5192.100
2026-01-21,15:30:00,512660.SS,1.479,12400,多,1.394,18339.600,1060.200
2026-01-21,15:30:00,518880.SS,10.377,8100,多,9.441,84053.700,7581.600
2026-01-22,15:30:00,512660.SS,1.526,12400,多,1.394,18922.400,1643.000
2026-01-22,15:30:00,518880.SS,10.341,8100,多,9.441,83762.100,7290.000
2026-01-23,15:30:00,512660.SS,1.574,12400,多,1.394,19517.600,2238.200
2026-01-23,15:30:00,518880.SS,10.617,8100,多,9.441,85997.700,9525.600
2026-01-26,15:30:00,512660.SS,1.503,12400,多,1.394,18637.200,1357.800
2026-01-26,15:30:00,518880.SS,10.924,8100,多,9.441,88484.400,12012.300
2026-01-27,15:30:00,512660.SS,1.525,12400,多,1.394,18910.000,1630.600
2026-01-27,15:30:00,518880.SS,10.934,8100,多,9.441,88565.400,12093.300
2026-01-28,15:30:00,512660.SS,1.503,12400,多,1.394,18637.200,1357.800
2026-01-28,15:30:00,518880.SS,11.280,8100,多,9.441,91368.000,14895.900
2026-01-29,15:30:00,512660.SS,1.473,12400,多,1.394,18265.200,985.800
2026-01-29,15:30:00,518880.SS,11.904,8100,多,9.441,96422.400,19950.300
2026-01-30,15:30:00,512660.SS,1.446,12400,多,1.394,17930.400,651.000
2026-01-30,15:30:00,518880.SS,11.009,8100,多,9.441,89172.900,12700.800
2026-02-02,15:30:00,512660.SS,1.420,59300,多,1.443,84206.000,-1340.180
2026-02-02,15:30:00,518880.SS,9.908,0,多,0.000,0.000,0.000
2026-02-02,15:30:00,512720.SS,1.287,9700,多,1.331,12483.900,-430.680
2026-02-03,15:30:00,512660.SS,1.483,59300,多,1.443,87941.900,2395.720
2026-02-03,15:30:00,512720.SS,1.319,9700,多,1.331,12794.300,-120.280
2026-02-04,15:30:00,512660.SS,1.485,59300,多,1.443,88060.500,2514.320
2026-02-04,15:30:00,512720.SS,1.289,9700,多,1.331,12503.300,-411.280
2026-02-05,15:30:00,512660.SS,1.466,59300,多,1.443,86933.800,1387.620
2026-02-05,15:30:00,512720.SS,1.274,9700,多,1.331,12357.800,-556.780
2026-02-06,15:30:00,512660.SS,1.440,59300,多,1.443,85392.000,-154.180
2026-02-06,15:30:00,512720.SS,1.268,9700,多,1.331,12299.600,-614.980
2026-02-09,15:30:00,512660.SS,1.466,59300,多,1.443,86933.800,1387.620
2026-02-09,15:30:00,512720.SS,1.305,9700,多,1.331,12658.500,-256.080
2026-02-10,15:30:00,512660.SS,1.469,59300,多,1.443,87111.700,1565.520
2026-02-10,15:30:00,512720.SS,1.313,9700,多,1.331,12736.100,-178.480
2026-02-11,15:30:00,512660.SS,1.458,59300,多,1.443,86459.400,913.220
2026-02-11,15:30:00,512720.SS,1.306,9700,多,1.331,12668.200,-246.380
2026-02-12,15:30:00,512660.SS,1.478,59300,多,1.443,87645.400,2099.220
2026-02-12,15:30:00,512720.SS,1.338,9700,多,1.331,12978.600,64.020
2026-02-13,15:30:00,512660.SS,1.483,59300,多,1.443,87941.900,2395.720
2026-02-13,15:30:00,512720.SS,1.330,9700,多,1.331,12901.000,-13.580
2026-02-24,15:30:00,512660.SS,1.501,59300,多,1.443,89009.300,3463.120
2026-02-24,15:30:00,512720.SS,1.312,9700,多,1.331,12726.400,-188.180
2026-02-25,15:30:00,512660.SS,1.526,59300,多,1.443,90491.800,4945.620
2026-02-25,15:30:00,512720.SS,1.303,9700,多,1.331,12639.100,-275.480
2026-02-26,15:30:00,512660.SS,1.552,59300,多,1.443,92033.600,6487.420
2026-02-26,15:30:00,512720.SS,1.319,9700,多,1.331,12794.300,-120.280
2026-02-27,15:30:00,512660.SS,1.550,59300,多,1.443,91915.000,6368.820
2026-02-27,15:30:00,512720.SS,1.340,9700,多,1.331,12998.000,83.420
2026-03-02,15:30:00,512660.SS,1.588,0,多,0.000,0.000,0.000
2026-03-02,15:30:00,512720.SS,1.305,0,多,0.000,0.000,0.000
2026-03-02,15:30:00,518880.SS,11.417,2300,多,11.274,26259.100,328.210
2026-03-02,15:30:00,515790.SS,1.136,4300,多,1.120,4884.800,67.510
2026-03-02,15:30:00,159985.SZ,2.034,36800,多,2.023,74851.200,419.520
2026-03-03,15:30:00,518880.SS,11.259,2300,多,11.274,25895.700,-35.190
2026-03-03,15:30:00,515790.SS,1.110,4300,多,1.120,4773.000,-44.290
2026-03-03,15:30:00,159985.SZ,2.051,36800,多,2.023,75476.800,1045.120
2026-03-04,15:30:00,518880.SS,10.980,2300,多,11.274,25254.000,-676.890
2026-03-04,15:30:00,515790.SS,1.110,4300,多,1.120,4773.000,-44.290
2026-03-04,15:30:00,159985.SZ,2.102,36800,多,2.023,77353.600,2921.920
2026-03-05,15:30:00,518880.SS,10.964,2300,多,11.274,25217.200,-713.690
2026-03-05,15:30:00,515790.SS,1.125,4300,多,1.120,4837.500,20.210
2026-03-05,15:30:00,159985.SZ,2.061,36800,多,2.023,75844.800,1413.120
2026-03-06,15:30:00,518880.SS,10.873,2300,多,11.274,25007.900,-922.990
2026-03-06,15:30:00,515790.SS,1.127,4300,多,1.120,4846.100,28.810
2026-03-06,15:30:00,159985.SZ,2.126,36800,多,2.023,78236.800,3805.120
2026-03-09,15:30:00,518880.SS,10.868,2300,多,11.274,24996.400,-934.490
2026-03-09,15:30:00,515790.SS,1.149,4300,多,1.120,4940.700,123.410
2026-03-09,15:30:00,159985.SZ,2.232,36800,多,2.023,82137.600,7705.920
2026-03-10,15:30:00,518880.SS,10.956,2300,多,11.274,25198.800,-732.090
2026-03-10,15:30:00,515790.SS,1.162,4300,多,1.120,4996.600,179.310
2026-03-10,15:30:00,159985.SZ,2.179,36800,多,2.023,80187.200,5755.520
2026-03-11,15:30:00,518880.SS,10.974,2300,多,11.274,25240.200,-690.690
2026-03-11,15:30:00,515790.SS,1.180,4300,多,1.120,5074.000,256.710
2026-03-11,15:30:00,159985.SZ,2.244,36800,多,2.023,82579.200,8147.520
2026-03-12,15:30:00,518880.SS,10.938,2300,多,11.274,25157.400,-773.490
2026-03-12,15:30:00,515790.SS,1.183,4300,多,1.120,5086.900,269.610
2026-03-12,15:30:00,159985.SZ,2.232,36800,多,2.023,82137.600,7705.920
2026-03-13,15:30:00,518880.SS,10.802,2300,多,11.274,24844.600,-1086.290
2026-03-13,15:30:00,515790.SS,1.164,4300,多,1.120,5005.200,187.910
2026-03-13,15:30:00,159985.SZ,2.321,36800,多,2.023,85412.800,10981.120
2026-03-16,15:30:00,518880.SS,10.664,2300,多,11.274,24527.200,-1403.690
2026-03-16,15:30:00,515790.SS,1.135,4300,多,1.120,4880.500,63.210
2026-03-16,15:30:00,159985.SZ,2.262,36800,多,2.023,83241.600,8809.920
